trial_id,phase,image_type,image_attribute,image_position,original_index,image_src,start_time,end_time,duration,first_gaze_x,first_gaze_y,last_gaze_x,last_gaze_y,gaze_samples
114,body,body,thin,left,15,b/15.jpg,1754567177117,1754567183159,6042,-37.900012217280775,753.0628260320225,346.06372367362565,995.6326909767785,143
117,body,body,fat,left,11,b/11.jpg,1754567186169,1754567192215,6046,285.23423515779734,1033.04313598205,359.86330816121705,1273.4653936358318,163
120,body,body,thin,left,12,b/12.jpg,1754567195425,1754567201478,6053,220.89903213113425,1033.0886074326577,22.60282629636275,1100.2599707369573,175
123,body,body,thin,left,19,b/19.jpg,1754567204695,1754567210723,6028,224.52528488511223,1010.3622106713942,171.8318944009267,1254.8374220300345,140
126,body,body,thin,left,17,b/17.jpg,1754567213736,1754567219778,6042,251.21847160376245,960.222695637267,-66.68081410345756,1210.4673567662753,170
129,body,body,fat,left,2,b/2.jpg,1754567222586,1754567228626,6040,8.399535562027406,1177.0905656300286,-42.7134855546624,813.4532350582028,171
132,body,body,fat,left,1,b/1.jpg,1754567231836,1754567237885,6049,34.27292283194015,999.2093122486378,190.6924597265379,568.7327158822677,147
135,body,body,thin,left,14,b/14.jpg,1754567240907,1754567246954,6047,109.18861025604451,1085.7343813357636,-25.121875707373803,1119.519345047639,174
138,body,body,fat,left,3,b/3.jpg,1754567249769,1754567255816,6047,-119.88842396100006,1134.6638714456674,178.15986564451316,1210.908659303216,162
141,body,body,fat,left,10,b/10.jpg,1754567258633,1754567264665,6032,-132.96929231576587,1080.4481343375755,98.06747570286461,919.8978375028819,147
144,body,body,thin,left,22,b/22.jpg,1754567267678,1754567273705,6027,865.7813661327937,770.0884685792112,465.167353006395,1013.0347940256247,152
